iter	MultiClass
0	1.092081492
1	1.088158512
2	1.084342661
3	1.081325099
4	1.080327665
5	1.07729521
6	1.074421284
7	1.072143126
8	1.070493478
9	1.069859839
10	1.064059655
11	1.062465481
12	1.059905585
13	1.057301492
14	1.056608383
15	1.055839231
16	1.054352339
17	1.051980075
18	1.050065545
19	1.048412323
20	1.046510459
21	1.043798365
22	1.041947219
23	1.040883608
24	1.038882878
25	1.038135712
26	1.037925622
27	1.035358165
28	1.034313065
29	1.033269481
30	1.031848583
31	1.030550286
32	1.029466897
33	1.028631941
34	1.027306218
35	1.025894598
36	1.024117973
37	1.02256494
38	1.021439564
39	1.020302822
40	1.018640826
41	1.016880953
42	1.01466994
43	1.013793976
44	1.01221223
45	1.009854752
46	1.008456637
47	1.007539912
48	1.004187889
49	1.003657511
50	1.001677108
51	1.001141
52	1.000142677
53	0.9970273542
54	0.995439479
55	0.9942300347
56	0.9930183076
57	0.9917410282
58	0.9914011759
59	0.990798348
60	0.9891646452
61	0.9878093684
62	0.9863086641
63	0.9847856526
64	0.9839588243
65	0.9832232526
66	0.98211521
67	0.9811820782
68	0.9802402859
69	0.9789029396
70	0.9777927557
71	0.9772335794
72	0.9756826823
73	0.9752578244
74	0.9737035944
75	0.9728962346
76	0.9719898541
77	0.9714410222
78	0.9709635435
79	0.9705981122
80	0.9694325459
81	0.9678915257
82	0.9672983832
83	0.9667448704
84	0.9664819142
85	0.9652436175
86	0.9648913991
87	0.963977412
88	0.9636105404
89	0.9626825847
90	0.9624825662
91	0.9621519502
92	0.9620511885
93	0.9610505289
94	0.9606785489
95	0.9599428383
96	0.9591052051
97	0.9578949502
98	0.957611788
99	0.9572721472
100	0.9569994678
101	0.9567573906
102	0.9554671893
103	0.9548941692
104	0.9536698348
105	0.953472191
106	0.9527382889
107	0.9522284939
108	0.9517544647
109	0.9515981143
110	0.9512188564
111	0.9510360312
112	0.9506766314
113	0.9500718918
114	0.948685276
115	0.9482704725
116	0.9477611055
117	0.9475689555
118	0.9463685059
119	0.9452497016
120	0.9441748286
121	0.9437315199
122	0.9426822595
123	0.9420662654
124	0.9412491029
125	0.9409271811
126	0.9405452773
127	0.9395643312
128	0.9392872879
129	0.9384798001
130	0.9380477193
131	0.9370240731
132	0.9366008489
133	0.935668927
134	0.9353405212
135	0.9343128975
136	0.9339326033
